x, y, p, Ux, Uy, viscosity(nut), Rx, Ry, Rxy
-0.00140882, 0.00494422, -219.209, 2.26968, 31.5455, 0.00495338, 14.5502, 32.8147, -16.4297
0.00188511, 0.0144231, -642.663, 12.1159, 36.9513, 0.00521975, 41.8277, 23.8016, -46.5846
0.00866774, 0.022903, -748.572, 20.0243, 32.9417, 0.00480115, 49.0474, 3.11606, -52.4244
0.0174794, 0.0304279, -711.759, 24.2813, 26.2912, 0.00434323, 44.7246, -10.7239, -46.5221
0.0277553, 0.0373343, -668.562, 26.4908, 20.7738, 0.00408969, 39.316, -18.7205, -40.3499
0.0392533, 0.0437872, -638.11, 27.9109, 16.9711, 0.00396005, 34.6775, -23.6618, -35.3149
0.0518947, 0.0498949, -612.188, 28.9583, 14.3986, 0.00385364, 30.5152, -26.6229, -30.904
0.0656699, 0.0557206, -588.443, 29.704, 12.5673, 0.0037352, 26.6971, -28.1764, -26.9423
0.0805993, 0.0612968, -567.846, 30.1822, 11.1541, 0.00360897, 23.2608, -28.8467, -23.4365
0.0966654, 0.0666176, -550.479, 30.4371, 9.96062, 0.00348943, 20.2301, -29.058, -20.3756
0.113869, 0.0716682, -535.151, 30.508, 8.87611, 0.00338487, 17.5623, -29.0535, -17.693
0.132325, 0.0764533, -520.624, 30.4326, 7.84652, 0.0032943, 15.1676, -28.9208, -15.2886
0.152145, 0.0809596, -506.301, 30.2465, 6.85219, 0.00321332, 12.9678, -28.6738, -13.0808
0.173391, 0.0851476, -491.877, 29.9742, 5.88776, 0.00313806, 10.9151, -28.3049, -11.0205
0.196133, 0.0889685, -477.008, 29.6282, 4.9513, 0.0030664, 8.98468, -27.8079, -9.08213
0.220445, 0.0923655, -461.379, 29.2127, 4.04242, 0.00299752, 7.16564, -27.1827, -7.25461
0.246406, 0.0952727, -444.733, 28.7248, 3.16008, 0.00293071, 5.45074, -26.4279, -5.53113
0.274103, 0.0976144, -426.756, 28.1569, 2.30425, 0.00286491, 3.83929, -25.5359, -3.91067
0.303631, 0.0993037, -407.147, 27.4922, 1.47408, 0.00279851, 2.33123, -24.4914, -2.39337
0.335093, 0.100243, -385.376, 26.7137, 0.674916, 0.00273013, 0.944072, -23.2809, -0.995392
0.368608, 0.100316, -361.028, 25.7614, -0.095367, 0.00265606, -0.32109, -21.8575, 0.280221
0.402728, 0.0995075, -333.609, 24.6824, -0.772217, 0.00257954, -1.32456, -20.2867, 1.30222
0.436237, 0.0979839, -305.384, 23.6865, -1.26034, 0.00251112, -1.94959, -18.8044, 1.94993
0.469443, 0.0959153, -281.282, 22.8512, -1.60468, 0.00245207, -2.37727, -17.5196, 2.38248
0.502358, 0.0933705, -260.631, 22.1043, -1.87965, 0.00239931, -2.71281, -16.3821, 2.71635
0.534965, 0.0903838, -240.96, 21.3726, -2.11509, 0.00234967, -2.96976, -15.3219, 2.97415
0.567263, 0.0869879, -221.831, 20.6357, -2.31689, 0.00230141, -3.15996, -14.3131, 3.16552
0.599252, 0.0832104, -203.352, 19.8923, -2.48814, 0.00225388, -3.29412, -13.3486, 3.30043
0.630931, 0.0790753, -185.384, 19.1394, -2.63105, 0.00220638, -3.37773, -12.4208, 3.38488
